customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,age
1,Laraine,Medendorp,F,93,12-10-53,Executive Secretary,Health,Mass Customer,N,Yes,11,69
2,Eli,Bockman,M,81,16-12-80,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,42
3,Arlin,Dearle,M,61,20-01-54,Recruiting Manager,Property,Mass Customer,N,Yes,15,69
4,Talbot,,M,33,03-10-61,,IT,Mass Customer,N,No,7,61
5,Sheila-kathryn,Calton,F,56,13-05-77,Senior Editor,,Affluent Customer,N,Yes,8,45
6,Curr,Duckhouse,M,35,16-09-66,,Retail,High Net Worth,N,Yes,13,56
7,Fina,Merali,F,6,23-02-76,,Financial Services,Affluent Customer,N,Yes,11,47
8,Rod,Inder,M,31,30-03-62,Media Manager I,,Mass Customer,N,No,7,61
9,Mala,Lind,F,97,10-03-73,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,50
10,Fiorenze,Birdall,F,49,11-10-88,Senior Quality Engineer,Financial Services,Mass Customer,N,Yes,20,34
11,Uriah,Bisatt,M,99,30-04-54,,Property,Mass Customer,N,No,9,68
12,Sawyere,Flattman,M,58,21-07-94,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,28
13,Gabriele,Norcross,M,38,15-02-55,Developer I,Financial Services,High Net Worth,N,Yes,8,68
14,Rayshell,Kitteman,F,85,25-03-83,Account Executive,Financial Services,Affluent Customer,N,No,6,40
15,Erroll,Radage,M,91,13-07-00,Junior Executive,Manufacturing,Mass Customer,N,No,1,22
16,Harlin,Parr,M,38,27-02-77,Media Manager IV,,Mass Customer,N,Yes,18,46
17,Heath,Faraday,M,57,19-03-62,Sales Associate,,Affluent Customer,N,Yes,15,61
18,Marjie,Neasham,F,79,06-07-67,Professor,,Affluent Customer,N,No,11,55
19,Sorcha,Keyson,F,76,15-04-01,Geological Engineer,Manufacturing,High Net Worth,N,No,1,21
20,Basile,Firth,M,72,13-08-80,Project Manager,Manufacturing,Mass Customer,N,No,11,42
21,Mile,Cammocke,M,74,20-09-80,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16,42
22,Deeanne,Durtnell,F,79,10-12-62,,IT,Mass Customer,N,No,11,60
23,Olav,Polak,M,43,10-02-95,,,High Net Worth,N,Yes,1,28
24,Kim,Skpsey,F,55,03-12-77,Research Assistant I,Argiculture,Mass Customer,N,Yes,15,45
25,Geoff,Assaf,M,72,02-12-76,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21,46
26,Trixi,Ginnelly,F,12,10-06-78,Editor,Financial Services,Mass Customer,N,Yes,16,44
27,Garvin,Klees,M,37,25-09-78,Research Nurse,Health,Mass Customer,N,Yes,12,44
28,Fee,Zellmer,M,5,30-09-73,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21,49
29,Mona,Sancraft,F,62,22-06-68,Safety Technician III,Manufacturing,Mass Customer,N,No,19,54
30,Darrick,Helleckas,M,18,18-10-61,,IT,Affluent Customer,N,Yes,6,61
31,Star,Praton,F,3,24-11-62,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14,60
32,Marion,Vanichkin,F,17,20-04-95,Legal Assistant,Manufacturing,Affluent Customer,N,No,4,27
33,Ernst,Hacon,M,44,25-06-57,Product Engineer,,Affluent Customer,N,Yes,11,65
35,Margaretha,Strettle,F,40,28-09-63,Information Systems Manager,Health,High Net Worth,N,Yes,16,59
36,Lurette,Stonnell,F,33,09-11-77,VP Quality Control,,Affluent Customer,N,No,22,45
37,Laurie,Dwerryhouse,F,46,22-12-85,Social Worker,Health,High Net Worth,N,No,16,37
38,Cordi,Merman,F,37,29-10-55,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20,67
39,Hunfredo,Smalley,M,5,16-04-79,Assistant Media Planner,Entertainment,Mass Customer,N,No,22,43
40,Tomasine,Jerche,F,91,27-10-81,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14,41
41,Basilius,Coupe,M,64,14-04-76,Food Chemist,Health,Mass Customer,N,No,16,46
42,Chiquita,Durnall,F,24,28-03-77,Accountant III,Manufacturing,Mass Customer,N,No,18,46
43,Indira,Belt,F,38,01-03-83,Director of Sales,Retail,Mass Customer,N,No,5,40
44,Neron,Verick,M,63,18-10-81,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17,41
45,Trace,Woodhead,M,64,23-09-75,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8,47
46,Kaila,Allin,F,98,26-02-72,,,Affluent Customer,N,Yes,15,51
47,Matthew,Jeaycock,M,51,22-10-92,Registered Nurse,Health,Affluent Customer,N,No,2,30
48,Rebbecca,Casone,F,46,15-08-75,Biostatistician II,,Mass Customer,N,Yes,8,47
49,Nolly,Ownsworth,M,63,26-01-94,VP Quality Control,,Affluent Customer,N,No,1,29
